id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

access_res_partner_pickup_point_admin,access_res_partner_pickup_point_admin,model_pickup_point,waste_management_zakheni.group_wmz_admin,1,1,1,1
access_res_partner_pickup_point_clerk,access_res_partner_pickup_point_clerk,model_pickup_point,waste_management_zakheni.group_wmz_admin_clerk,1,1,1,1
access_res_partner_pickup_point_manger,access_res_partner_pickup_point_manger,model_pickup_point,waste_management_zakheni.group_wmz_manager,1,1,0,0
access_res_partner_pickup_point_driver,access_res_partner_pickup_point_driver,model_pickup_point,waste_management_zakheni.group_wmz_driver,1,1,0,0
access_res_partner_pickup_point_finance,access_res_partner_pickup_point_finance,model_pickup_point,waste_management_zakheni.group_wmz_finance,1,1,0,0

access_waste_container_admin,access_waste_container_admin,model_waste_container,waste_management_zakheni.group_wmz_admin,1,1,1,1
access_waste_container_clerk,access_waste_container_clerk,model_waste_container,waste_management_zakheni.group_wmz_admin_clerk,1,1,1,0
access_waste_container_manger,access_waste_container_manager,model_waste_container,waste_management_zakheni.group_wmz_manager,1,1,0,0
access_waste_container_driver,access_waste_container_driver,model_waste_container,waste_management_zakheni.group_wmz_driver,1,1,0,0
access_waste_container_finance,access_waste_container_finance,model_waste_container,waste_management_zakheni.group_wmz_finance,1,1,0,0

access_waste_service_request_admin,access_waste_service_request_admin,model_waste_service_request,waste_management_zakheni.group_wmz_admin,1,1,1,1
access_waste_service_request_clerk,access_waste_service_request_clerk,model_waste_service_request,waste_management_zakheni.group_wmz_admin_clerk,1,1,1,1
access_waste_service_request_manager,access_waste_service_request_manager,model_waste_service_request,waste_management_zakheni.group_wmz_manager,1,1,0,1
access_waste_service_request_finance,access_waste_service_request_finance,model_waste_service_request,waste_management_zakheni.group_wmz_finance,1,1,0,0
access_waste_service_request_driver,access_waste_service_request_driver,model_waste_service_request,waste_management_zakheni.group_wmz_driver,1,1,0,0

access_disposal_site_admin,waste_disposal_site_admin,model_waste_disposal_site,waste_management_zakheni.group_wmz_admin,1,1,1,1
access_disposal_site_clerk,waste_disposal_site_clerk,model_waste_disposal_site,waste_management_zakheni.group_wmz_admin_clerk,1,1,1,1
access_disposal_site_manager,waste_disposal_site_manager,model_waste_disposal_site,waste_management_zakheni.group_wmz_manager,1,1,0,0
access_disposal_site_driver,waste_disposal_site_driver,model_waste_disposal_site,waste_management_zakheni.group_wmz_driver,1,1,0,0
access_disposal_site_finance,waste_disposal_site_finance,model_waste_disposal_site,waste_management_zakheni.group_wmz_finance,1,1,0,0

access_waste_worksheet_admin,waste_worksheet_admin,model_waste_worksheet,waste_management_zakheni.group_wmz_admin,1,1,1,1
access_waste_worksheet_clerk,waste_worksheet_clerk,model_waste_worksheet,waste_management_zakheni.group_wmz_admin_clerk,1,1,1,1
access_waste_worksheet_manager,waste_worksheet_manager,model_waste_worksheet,waste_management_zakheni.group_wmz_manager,1,1,0,0
access_waste_worksheet_driver,waste_worksheet_driver,model_waste_worksheet,waste_management_zakheni.group_wmz_driver,1,1,1,1
access_waste_worksheet_finance,waste_worksheet_finance,model_waste_worksheet,waste_management_zakheni.group_wmz_finance,1,1,0,0
access_waste_worksheet_company_admin,waste_worksheet_company_admin,model_waste_worksheet,waste_management_zakheni.group_company_admin,1,1,0,0
access_waste_worksheet_central_admin,waste_worksheet_central_admin,model_waste_worksheet,waste_management_zakheni.group_central_admin,1,1,0,0

access_service_request_admin,service_request_admin,model_service_request,waste_management_zakheni.group_wmz_admin,1,1,1,1
access_service_request_clerk,service_request_clerk,model_service_request,waste_management_zakheni.group_wmz_admin_clerk,1,1,1,1
access_service_request_manager,service_request_manager,model_service_request,waste_management_zakheni.group_wmz_manager,1,1,0,0
access_service_request_driver,service_request_driver,model_service_request,waste_management_zakheni.group_wmz_driver,1,1,0,0
access_service_request_finance,service_request_finance,model_service_request,waste_management_zakheni.group_wmz_finance,1,1,0,0

access_waste_type_admin,waste_type_admin,model_waste_type,waste_management_zakheni.group_wmz_admin,1,1,1,1
access_waste_type_clerk,waste_type_clerk,model_waste_type,waste_management_zakheni.group_wmz_admin_clerk,1,1,1,1
access_waste_type_manager,waste_type_manager,model_waste_type,waste_management_zakheni.group_wmz_manager,1,1,0,0
access_waste_type_driver,waste_type_driver,model_waste_type,waste_management_zakheni.group_wmz_driver,1,1,0,0
access_waste_type_finance,waste_type_finance,model_waste_type,waste_management_zakheni.group_wmz_finance,1,1,0,0

access_waste_details_admin,waste_details_admin,model_waste_details,waste_management_zakheni.group_wmz_admin,1,1,1,1
access_waste_details_clerk,waste_details_clerk,model_waste_details,waste_management_zakheni.group_wmz_admin_clerk,1,1,1,1
access_waste_details_manager,waste_details_manager,model_waste_details,waste_management_zakheni.group_wmz_manager,1,1,0,0
access_waste_details_driver,waste_details_driver,model_waste_details,waste_management_zakheni.group_wmz_driver,1,1,0,0
access_waste_details_finance,waste_details_finance,model_waste_details,waste_management_zakheni.group_wmz_finance,1,1,0,0

